,precision,recall,f1-score,support
Leucocyte,0.6016260162601627,0.2846153846153846,0.38642297650130547,260.0
Squamous Epithelial Cell,0.8636363636363636,0.27941176470588236,0.4222222222222222,68.0
background,0.0,0.0,0.0,48.0
accuracy,0.2473404255319149,0.2473404255319149,0.2473404255319149,0.2473404255319149
macro avg,0.4884207932988421,0.18800904977375565,0.2695483995745092,376.0
weighted avg,0.5722075450928591,0.2473404255319149,0.3435667154293897,376.0
