,precision,recall,f1-score,support
Leucocyte,0.5971223021582733,0.6384615384615384,0.6171003717472119,260.0
Squamous Epithelial Cell,0.84375,0.39705882352941174,0.54,68.0
background,0.0,0.0,0.0,110.0
accuracy,0.4406392694063927,0.4406392694063927,0.4406392694063927,0.4406392694063927
macro avg,0.48029076738609106,0.34517345399698335,0.3857001239157373,438.0
weighted avg,0.48544931178344997,0.4406392694063927,0.4501509056033678,438.0
