,precision,recall,f1-score,support
Squamous Epithelial Cell,0.7378917378917379,0.7777777777777778,0.7573099415204678,333.0
background,0.0,0.0,0.0,92.0
accuracy,0.6094117647058823,0.6094117647058823,0.6094117647058823,0.6094117647058823
macro avg,0.36894586894586895,0.3888888888888889,0.3786549707602339,425.0
weighted avg,0.5781598793363499,0.6094117647058823,0.5933746130030959,425.0
