,precision,recall,f1-score,support
Squamous Epithelial Cell,0.7311827956989247,0.6938775510204082,0.7120418848167539,98.0
background,0.0,0.0,0.0,25.0
accuracy,0.5528455284552846,0.5528455284552846,0.5528455284552846,0.5528455284552846
macro avg,0.3655913978494624,0.3469387755102041,0.35602094240837695,123.0
weighted avg,0.5825684063292246,0.5528455284552846,0.5673179244881453,123.0
