,precision,recall,f1-score,support
Leucocyte,0.5913461538461539,0.47307692307692306,0.5256410256410257,260.0
Squamous Epithelial Cell,0.8,0.5882352941176471,0.6779661016949152,68.0
background,0.0,0.0,0.0,91.0
accuracy,0.38902147971360385,0.38902147971360385,0.38902147971360385,0.38902147971360385
macro avg,0.46378205128205136,0.35377073906485673,0.4012023757786469,419.0
weighted avg,0.49677804295942724,0.38902147971360385,0.4362013402909807,419.0
