,precision,recall,f1-score,support
Squamous Epithelial Cell,0.6944444444444444,0.36764705882352944,0.4807692307692308,68.0
Leucocyte,0.7236842105263158,0.21153846153846154,0.3273809523809524,260.0
Cylindrical Epithelial Cell,0.0,0.0,0.0,0.0
background,0.0,0.0,0.0,28.0
accuracy,0.2247191011235955,0.2247191011235955,0.2247191011235955,0.2247191011235955
macro avg,0.35453216374269003,0.14479638009049775,0.2020375457875458,356.0
weighted avg,0.6611801038175965,0.2247191011235955,0.33093077334650367,356.0
