,Squamous Epithelial Cell,Leucocyte,Cylindrical Epithelial Cell,background
Squamous Epithelial Cell,25,4,0,39
Leucocyte,0,55,0,205
Cylindrical Epithelial Cell,0,0,0,0
background,11,17,0,0
