,precision,recall,f1-score,support
Leucocyte,0.6276150627615062,0.5769230769230769,0.6012024048096193,260.0
Squamous Epithelial Cell,0.84,0.3088235294117647,0.45161290322580644,68.0
background,0.0,0.0,0.0,84.0
accuracy,0.41504854368932037,0.41504854368932037,0.41504854368932037,0.41504854368932037
macro avg,0.48920502092050205,0.29524886877828055,0.3509384360118086,412.0
weighted avg,0.5347085347524069,0.41504854368932037,0.45393762783945596,412.0
