leucocyte_threshold,epithelial_threshold,tp,fp,fn,micro_precision,micro_recall,micro_f1,micro_jaccard,macro_precision,macro_recall,macro_f1,macro_jaccard,leucocyte_precision,leucocyte_recall,leucocyte_f1,leucocyte_jaccard,leucocyte_fp_per_image,epithelial_precision,epithelial_recall,epithelial_f1,epithelial_jaccard,epithelial_fp_per_image
0.0,0.0,768,4532,8,0.1449056603773585,0.9896907216494846,0.2527978933508888,0.14468726450640543,0.13689907472988122,0.993006993006993,0.23960161389989454,0.13671041044292687,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.1105092091007584,1.0,0.19902439024390242,0.1105092091007584,30.9811320754717
0.0,0.009999999776482582,768,4415,8,0.14817673162261238,0.9896907216494846,0.25776136935727473,0.14794837218262377,0.1406381081205084,0.993006993006993,0.2456248559222786,0.14044944383355404,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.11798727588201273,1.0,0.2110708742886705,0.11798727588201273,28.77358490566038
0.0,0.019999999552965164,768,3721,8,0.17108487413677878,0.9896907216494846,0.2917378917378917,0.17078052034689792,0.18019519481718319,0.993006993006993,0.30473832918956567,0.18000653053022883,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.19710144927536233,1.0,0.3292978208232446,0.19710144927536233,15.679245283018869
0.0,0.029999999329447746,768,3438,8,0.1825962910128388,0.9896907216494846,0.3083099156965074,0.18224964404366398,0.21728276805184243,0.993006993006993,0.3534785401168555,0.21709410376488808,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.2712765957446808,1.0,0.42677824267782427,0.2712765957446808,10.339622641509434
0.0,0.03999999910593033,768,3300,8,0.1887905604719764,0.9896907216494846,0.3170933113129645,0.18842001962708538,0.24776824868113068,0.993006993006993,0.3894781718341781,0.24757958439417632,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.3322475570032573,1.0,0.49877750611246946,0.3322475570032573,7.735849056603773
0.0,0.05000000074505806,768,3222,8,0.1924812030075188,0.9896907216494846,0.32228283676038616,0.192096048024012,0.27194297764218855,0.993006993006993,0.415765094453619,0.27175431335523426,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.3805970149253731,1.0,0.5513513513513513,0.3805970149253731,6.264150943396227
0.0,0.05999999865889549,768,3145,8,0.19626884743163814,0.9896907216494846,0.32757517594369806,0.19586840091813312,0.30386669240172426,0.993006993006993,0.447781726470251,0.30367802811476985,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.4444444444444444,1.0,0.6153846153846153,0.4444444444444444,4.811320754716981
0.0,0.07000000029802322,768,3077,8,0.199739921976593,0.9896907216494846,0.33239558537113184,0.1993252011419673,0.3425140353968933,0.993006993006993,0.48294656163508615,0.342325371109939,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.5217391304347826,1.0,0.6857142857142856,0.5217391304347826,3.5283018867924527
0.0,0.07999999821186066,768,3029,8,0.2022649460100079,0.9896907216494846,0.3358845396894818,0.20183968462549276,0.3790205634739626,0.993006993006993,0.5130327460174314,0.3788318991870083,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.5947521865889213,1.0,0.7458866544789762,0.5947521865889213,2.6226415094339623
0.0,0.09000000357627869,768,2996,8,0.20403825717321997,0.9896907216494846,0.33832599118942724,0.20360551431601273,0.41067672824401813,0.993006993006993,0.5369765783110172,0.41048806395706383,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.6580645161290323,1.0,0.7937743190661478,0.6580645161290323,2.0
0.0,0.10000000149011612,768,2978,8,0.20501868659903896,0.9896907216494846,0.3396727111897391,0.20458177943526903,0.4309595386726527,0.993006993006993,0.5513797413585885,0.4307708743856984,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.6986301369863014,1.0,0.8225806451612903,0.6986301369863014,1.6603773584905661
0.0,0.10999999940395355,768,2960,8,0.20600858369098712,0.9896907216494846,0.3410301953818828,0.20556745182012848,0.4539072439021298,0.993006993006993,0.5668676614557676,0.45371857961517537,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.7445255474452555,1.0,0.8535564853556485,0.7445255474452555,1.320754716981132
0.0,0.11999999731779099,768,2944,8,0.20689655172413793,0.9896907216494846,0.3422459893048128,0.2064516129032258,0.4769933073888043,0.993006993006993,0.5816478603363848,0.47680464310185,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.7906976744186046,1.0,0.8831168831168831,0.7906976744186046,1.0188679245283019
0.0,0.12999999523162842,768,2940,8,0.20711974110032363,0.9896907216494846,0.3425512934879572,0.20667384284176535,0.4832192733291083,0.993006993006993,0.5855042659395154,0.483030609042154,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8031496062992126,1.0,0.8908296943231442,0.8031496062992126,0.9433962264150944
0.0,0.14000000059604645,768,2937,8,0.20728744939271254,0.9896907216494846,0.3427806293238116,0.20684082951791005,0.4880189721715339,0.993006993006993,0.5884410671295917,0.4878303078845796,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8127490039840638,1.0,0.8967032967032967,0.8127490039840638,0.8867924528301887
0.0,0.15000000596046448,768,2935,8,0.20739940588711855,0.9896907216494846,0.34293369055592765,0.20695230396119643,0.4912830243963695,0.993006993006993,0.5904205446057579,0.4910943601094151,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8192771084337349,1.0,0.9006622516556291,0.8192771084337349,0.8490566037735849
0.0,0.1599999964237213,768,2931,8,0.20762368207623683,0.9896907216494846,0.34324022346368716,0.2071756137038036,0.49797100079174694,0.993006993006993,0.5944324031877428,0.49778233650479253,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8326530612244898,1.0,0.9086859688195991,0.8326530612244898,0.7735849056603774
0.0,0.17000000178813934,768,2927,8,0.2078484438430311,0.9896907216494846,0.3435473048535004,0.20739940588711855,0.5048809847023236,0.993006993006993,0.5985163850700781,0.5046923204153693,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8464730290456431,1.0,0.9168539325842696,0.8464730290456431,0.6981132075471698
0.0,0.18000000715255737,768,2923,8,0.20807369276618803,0.9896907216494846,0.3438549361987911,0.20762368207623683,0.512024217014945,0.993006993006993,0.6026744527915487,0.5118355527279908,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8607594936708861,1.0,0.9251700680272108,0.8607594936708861,0.6226415094339622
0.0,0.1899999976158142,766,2921,10,0.2077569839978302,0.9871134020618557,0.3432668608559265,0.20719502299161482,0.5151208650292874,0.9881050322226793,0.6023319817070051,0.5112430399351009,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8669527896995708,0.9901960784313726,0.9244851258581235,0.8595744680851064,0.5849056603773585
0.0,0.20000000298023224,766,2919,10,0.2078697421981004,0.9871134020618557,0.34342075767765073,0.20730717185385655,0.5188739074089392,0.9881050322226793,0.6044572348698973,0.514932200742333,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8744588744588745,0.9901960784313726,0.9287356321839081,0.8669527896995708,0.5471698113207547
0.0,0.20999999344348907,765,2916,11,0.2078239608801956,0.9858247422680413,0.3432802333408122,0.207204767063922,0.5243757477125417,0.9856540518305225,0.6064467273626302,0.5184123276316781,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8854625550660793,0.9852941176470589,0.9327146171693735,0.8739130434782608,0.49056603773584906
0.0,0.2199999988079071,765,2913,11,0.20799347471451876,0.9858247422680413,0.3435114503816794,0.2073732718894009,0.5303051844652164,0.9856540518305225,0.6097155870022424,0.5241870834255873,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.8973214285714286,0.9852941176470589,0.9392523364485982,0.8854625550660793,0.4339622641509434
0.0,0.23000000417232513,765,2910,11,0.20816326530612245,0.9858247422680413,0.3437429791058189,0.20754205100379816,0.5363956014012214,0.9856540518305225,0.6130305952485315,0.5301165201782619,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.9095022624434389,0.9852941176470589,0.9458823529411765,0.8973214285714286,0.37735849056603776
0.0,0.23999999463558197,765,2907,11,0.20833333333333334,0.9858247422680413,0.3439748201438849,0.20771110507738258,0.5426536444914286,0.9856540518305225,0.6163927363134883,0.5362069371142671,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.9220183486238532,0.9852941176470589,0.95260663507109,0.9095022624434389,0.32075471698113206
0.0,0.25,765,2905,11,0.20844686648501362,0.9858247422680413,0.3441295546558704,0.2078239608801956,0.5469222479572798,0.9856540518305225,0.618660847349372,0.5403599154815888,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.9305555555555556,0.9852941176470589,0.9571428571428572,0.9178082191780822,0.2830188679245283
0.0,0.25999999046325684,765,2904,11,0.20850367947669665,0.9858247422680413,0.34420697412823403,0.2078804347826087,0.5490863306446183,0.9856540518305225,0.6198030225965592,0.5424649802044743,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.9348837209302325,0.9852941176470589,0.9594272076372315,0.9220183486238532,0.2641509433962264
0.0,0.27000001072883606,765,2904,11,0.20850367947669665,0.9858247422680413,0.34420697412823403,0.2078804347826087,0.5490863306446183,0.9856540518305225,0.6198030225965592,0.5424649802044743,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.9348837209302325,0.9852941176470589,0.9594272076372315,0.9220183486238532,0.2641509433962264
0.0,0.2800000011920929,765,2902,11,0.2086173984183256,0.9858247422680413,0.34436191762322754,0.20799347471451876,0.5534754560949949,0.9856540518305225,0.6221038072671519,0.5467335836703254,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265
