class,threshold,tp,fp,fn,precision,recall,f1,jaccard,fp_per_image,fn_per_image
Leucocyte,0.0,564,2890,8,0.16328894035900404,0.986013986013986,0.2801788375558867,0.16291161178509533,54.528301886792455,0.1509433962264151
Leucocyte,0.009999999776482582,564,2773,8,0.16901408450704225,0.986013986013986,0.28856485034535684,0.16860986547085202,52.320754716981135,0.1509433962264151
Leucocyte,0.019999999552965164,564,2007,8,0.2193698949824971,0.986013986013986,0.3588927776010182,0.21868941450174487,37.867924528301884,0.1509433962264151
Leucocyte,0.029999999329447746,564,1649,8,0.25485765928603704,0.986013986013986,0.4050269299820467,0.25393966681674923,31.11320754716981,0.1509433962264151
Leucocyte,0.03999999910593033,564,1415,8,0.2849924204143507,0.986013986013986,0.44217953743629956,0.28384499245093103,26.69811320754717,0.1509433962264151
Leucocyte,0.05000000074505806,563,1193,9,0.3206150341685649,0.9842657342657343,0.48367697594501724,0.3189801699716714,22.50943396226415,0.16981132075471697
Leucocyte,0.05999999865889549,561,999,11,0.3596153846153846,0.9807692307692307,0.5262664165103189,0.35709739019732656,18.849056603773583,0.20754716981132076
Leucocyte,0.07000000029802322,560,826,12,0.40404040404040403,0.9790209790209791,0.5720122574055159,0.4005722460658083,15.584905660377359,0.22641509433962265
Leucocyte,0.07999999821186066,559,668,13,0.45558272208638956,0.9772727272727273,0.6214563646470261,0.4508064516129032,12.60377358490566,0.24528301886792453
Leucocyte,0.09000000357627869,558,525,14,0.5152354570637119,0.9755244755244755,0.6743202416918429,0.5086599817684594,9.90566037735849,0.2641509433962264
Leucocyte,0.10000000149011612,558,426,14,0.5670731707317073,0.9755244755244755,0.7172236503856041,0.5591182364729459,8.037735849056604,0.2641509433962264
Leucocyte,0.10999999940395355,558,368,14,0.6025917926565875,0.9755244755244755,0.7449933244325767,0.5936170212765958,6.943396226415095,0.2641509433962264
Leucocyte,0.11999999731779099,557,315,15,0.6387614678899083,0.9737762237762237,0.7714681440443213,0.6279594137542277,5.943396226415095,0.2830188679245283
Leucocyte,0.12999999523162842,556,280,16,0.6650717703349283,0.972027972027972,0.7897727272727274,0.6525821596244131,5.283018867924528,0.3018867924528302
Leucocyte,0.14000000059604645,552,251,20,0.6874221668742216,0.965034965034965,0.8029090909090909,0.6707168894289186,4.735849056603773,0.37735849056603776
Leucocyte,0.15000000596046448,551,229,21,0.7064102564102565,0.9632867132867133,0.8150887573964497,0.6878901373283396,4.320754716981132,0.39622641509433965
Leucocyte,0.1599999964237213,550,214,22,0.7198952879581152,0.9615384615384616,0.8233532934131738,0.6997455470737913,4.037735849056604,0.41509433962264153
Leucocyte,0.17000000178813934,548,203,24,0.729693741677763,0.958041958041958,0.8284202569916855,0.7070967741935484,3.830188679245283,0.4528301886792453
Leucocyte,0.18000000715255737,547,193,25,0.7391891891891892,0.9562937062937062,0.833841463414634,0.7150326797385621,3.641509433962264,0.4716981132075472
Leucocyte,0.1899999976158142,546,182,26,0.75,0.9545454545454546,0.84,0.7241379310344828,3.4339622641509435,0.49056603773584906
Leucocyte,0.20000000298023224,544,172,28,0.7597765363128491,0.951048951048951,0.84472049689441,0.7311827956989247,3.2452830188679247,0.5283018867924528
Leucocyte,0.20999999344348907,542,161,30,0.7709815078236131,0.9475524475524476,0.8501960784313726,0.7394270122783083,3.0377358490566038,0.5660377358490566
Leucocyte,0.2199999988079071,538,153,34,0.7785817655571635,0.9405594405594405,0.8519398258115597,0.7420689655172413,2.8867924528301887,0.6415094339622641
Leucocyte,0.23000000417232513,537,137,35,0.7967359050445104,0.9388111888111889,0.8619582664526485,0.7574047954866009,2.5849056603773586,0.660377358490566
Leucocyte,0.23999999463558197,537,123,35,0.8136363636363636,0.9388111888111889,0.8717532467532468,0.7726618705035971,2.3207547169811322,0.660377358490566
Leucocyte,0.25,537,113,35,0.8261538461538461,0.9388111888111889,0.8788870703764321,0.7839416058394161,2.1320754716981134,0.660377358490566
Leucocyte,0.25999999046325684,536,103,36,0.838810641627543,0.9370629370629371,0.8852188274153592,0.794074074074074,1.9433962264150944,0.6792452830188679
Leucocyte,0.27000001072883606,535,100,37,0.84251968503937,0.9353146853146853,0.8864954432477216,0.7961309523809523,1.8867924528301887,0.6981132075471698
Leucocyte,0.2800000011920929,532,91,40,0.8539325842696629,0.9300699300699301,0.8903765690376569,0.8024132730015083,1.7169811320754718,0.7547169811320755
Leucocyte,0.28999999165534973,530,81,42,0.867430441898527,0.9265734265734266,0.8960270498732038,0.8116385911179173,1.528301886792453,0.7924528301886793
Leucocyte,0.30000001192092896,529,77,43,0.8729372937293729,0.9248251748251748,0.898132427843803,0.8151001540832049,1.4528301886792452,0.8113207547169812
Leucocyte,0.30000001192092896,529,77,43,0.8729372937293729,0.9248251748251748,0.898132427843803,0.8151001540832049,1.4528301886792452,0.8113207547169812
Leucocyte,0.3100000023841858,526,76,46,0.8737541528239202,0.9195804195804196,0.8960817717206134,0.8117283950617284,1.4339622641509433,0.8679245283018868
Leucocyte,0.3199999928474426,521,71,51,0.8800675675675675,0.9108391608391608,0.8951890034364262,0.8102643856920684,1.3396226415094339,0.9622641509433962
Leucocyte,0.33000001311302185,519,70,53,0.8811544991511036,0.9073426573426573,0.8940568475452196,0.8084112149532711,1.320754716981132,1.0
Leucocyte,0.3400000035762787,514,63,58,0.8908145580589255,0.8986013986013986,0.8946910356832027,0.8094488188976378,1.1886792452830188,1.0943396226415094
Leucocyte,0.3499999940395355,514,59,58,0.8970331588132635,0.8986013986013986,0.897816593886463,0.8145800316957211,1.1132075471698113,1.0943396226415094
Leucocyte,0.36000001430511475,513,57,59,0.9,0.8968531468531469,0.8984238178633974,0.8155802861685215,1.0754716981132075,1.1132075471698113
Leucocyte,0.3700000047683716,509,55,63,0.9024822695035462,0.8898601398601399,0.8961267605633803,0.8118022328548644,1.0377358490566038,1.1886792452830188
Leucocyte,0.3799999952316284,505,51,67,0.908273381294964,0.8828671328671329,0.895390070921986,0.8105939004815409,0.9622641509433962,1.2641509433962264
Leucocyte,0.38999998569488525,504,46,68,0.9163636363636364,0.8811188811188811,0.8983957219251337,0.8155339805825242,0.8679245283018868,1.2830188679245282
Leucocyte,0.4000000059604645,500,45,72,0.9174311926605505,0.8741258741258742,0.8952551477170995,0.8103727714748784,0.8490566037735849,1.3584905660377358
Leucocyte,0.4099999964237213,497,45,75,0.9169741697416974,0.8688811188811189,0.8922800718132855,0.8055105348460292,0.8490566037735849,1.4150943396226414
Leucocyte,0.41999998688697815,495,42,77,0.9217877094972067,0.8653846153846154,0.8926961226330027,0.8061889250814332,0.7924528301886793,1.4528301886792452
Leucocyte,0.4300000071525574,491,40,81,0.9246704331450094,0.8583916083916084,0.8902991840435176,0.8022875816993464,0.7547169811320755,1.528301886792453
Leucocyte,0.4399999976158142,489,38,83,0.9278937381404174,0.8548951048951049,0.8898999090081893,0.8016393442622951,0.7169811320754716,1.5660377358490567
Leucocyte,0.44999998807907104,487,38,85,0.9276190476190476,0.8513986013986014,0.8878760255241567,0.7983606557377049,0.7169811320754716,1.6037735849056605
Leucocyte,0.46000000834465027,480,38,92,0.9266409266409267,0.8391608391608392,0.8807339449541285,0.7868852459016393,0.7169811320754716,1.7358490566037736
