,Squamous Epithelial Cell,Leucocyte,Cylindrical Epithelial Cell,background
Squamous Epithelial Cell,23,8,0,37
Leucocyte,0,134,0,126
Cylindrical Epithelial Cell,0,0,0,0
background,2,43,0,0
