,precision,recall,f1-score,support
Squamous Epithelial Cell,0.92,0.3382352941176471,0.4946236559139785,68.0
Leucocyte,0.7243243243243244,0.5153846153846153,0.6022471910112359,260.0
Cylindrical Epithelial Cell,0.0,0.0,0.0,0.0
background,0.0,0.0,0.0,45.0
accuracy,0.42091152815013405,0.42091152815013405,0.42091152815013405,0.42091152815013405
macro avg,0.4110810810810811,0.2134049773755656,0.2742177117313036,373.0
weighted avg,0.6726121295558293,0.42091152815013405,0.509969646823249,373.0
