,precision,recall,f1-score,support
Leucocyte,0.6785714285714286,0.05846153846153846,0.10764872521246459,650.0
background,0.0,0.0,0.0,18.0
accuracy,0.05688622754491018,0.05688622754491018,0.05688622754491018,0.05688622754491018
macro avg,0.3392857142857143,0.02923076923076923,0.053824362606232294,668.0
weighted avg,0.6602865697177075,0.05688622754491018,0.10474801106003291,668.0
