,precision,recall,f1-score,support
Leucocyte,0.4020618556701031,0.5306122448979592,0.4574780058651026,294.0
background,0.0,0.0,0.0,232.0
accuracy,0.2965779467680608,0.2965779467680608,0.2965779467680608,0.2965779467680608
macro avg,0.20103092783505155,0.2653061224489796,0.2287390029325513,526.0
weighted avg,0.22472658853043784,0.2965779467680608,0.2557006344569205,526.0
